"Population"	"Units"	"Date"	"Area/Population Densit"	"geogcode"	"Rural Urban"	"value type"	"value"	"flag"
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Urban city and town"	"number"	137455	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Rural (total)"	"number"	957	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Rural town and fringe"	"number"	592	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Rural village"	"number"	365	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Rural hamlet and isolated dwellings"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000002"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Urban (total)"	"number"	170932	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Urban major conurbation"	"number"	26699	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Urban city and town"	"number"	130968	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Urban city and town in a sparse setting"	"number"	13265	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Rural (total)"	"number"	145096	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Rural town and fringe"	"number"	53488	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Rural town and fringe in a sparse setting"	"number"	28831	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Rural village"	"number"	12880	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Rural village in a sparse setting"	"number"	16991	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Rural hamlet and isolated dwellings"	"number"	15983	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000057"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	16923	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Urban (total)"	"number"	91297	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Urban city and town"	"number"	91297	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Rural (total)"	"number"	43880	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Rural town and fringe"	"number"	38785	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Rural village"	"number"	3136	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Rural hamlet and isolated dwellings"	"number"	1959	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000003"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Urban (total)"	"number"	184074	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Urban city and town"	"number"	184074	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Rural (total)"	"number"	7536	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Rural town and fringe"	"number"	392	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Rural village"	"number"	5961	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Rural hamlet and isolated dwellings"	"number"	1183	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000004"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Urban (total)"	"number"	184151	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Urban major conurbation"	"number"	181290	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Urban city and town"	"number"	2861	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Rural (total)"	"number"	16063	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Rural town and fringe"	"number"	12883	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Rural village"	"number"	1560	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Rural hamlet and isolated dwellings"	"number"	1620	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000037"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Urban (total)"	"number"	274444	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Urban major conurbation"	"number"	273861	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Urban city and town"	"number"	583	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Rural (total)"	"number"	5733	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Rural town and fringe"	"number"	4043	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Rural village"	"number"	1690	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Rural hamlet and isolated dwellings"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000021"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Urban (total)"	"number"	192278	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Urban major conurbation"	"number"	190512	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Urban city and town"	"number"	1766	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Rural (total)"	"number"	8523	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Rural town and fringe"	"number"	7895	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Rural village"	"number"	297	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Rural hamlet and isolated dwellings"	"number"	331	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000022"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Urban (total)"	"number"	147526	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Urban major conurbation"	"number"	141543	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Urban city and town"	"number"	5983	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Rural (total)"	"number"	601	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Rural town and fringe"	"number"	327	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Rural village"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Rural hamlet and isolated dwellings"	"number"	274	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000023"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Urban (total)"	"number"	274013	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Urban major conurbation"	"number"	273097	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Urban city and town"	"number"	916	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Rural (total)"	"number"	1493	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Rural town and fringe"	"number"	1213	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Rural village"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Rural hamlet and isolated dwellings"	"number"	280	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E08000024"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Urban (total)"	"number"	140558	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Urban city and town"	"number"	140558	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Rural (total)"	"number"	6931	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Rural town and fringe"	"number"	2612	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Rural village"	"number"	2378	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Rural hamlet and isolated dwellings"	"number"	1941	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000008"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Urban (total)"	"number"	141510	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Urban city and town"	"number"	141510	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Rural (total)"	"number"	555	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Rural town and fringe"	"number"	555	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Rural village"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Rural hamlet and isolated dwellings"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000009"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Urban (total)"	"number"	299520	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Urban major conurbation"	"number"	45501	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Urban city and town"	"number"	254019	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Rural (total)"	"number"	70607	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Rural town and fringe"	"number"	20733	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Rural village"	"number"	21405	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Rural hamlet and isolated dwellings"	"number"	28469	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000049"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Urban (total)"	"number"	243307	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Urban city and town"	"number"	243307	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Rural (total)"	"number"	86301	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Rural town and fringe"	"number"	45067	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Rural village"	"number"	20335	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Rural hamlet and isolated dwellings"	"number"	20899	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000050"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Urban (total)"	"number"	122598	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Urban city and town"	"number"	122598	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Rural (total)"	"number"	3148	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Rural town and fringe"	"number"	2188	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Rural village"	"number"	714	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Rural hamlet and isolated dwellings"	"number"	246	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000006"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Urban (total)"	"number"	177064	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Urban city and town"	"number"	177064	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Rural (total)"	"number"	25164	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Rural town and fringe"	"number"	15229	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Rural village"	"number"	5637	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Rural hamlet and isolated dwellings"	"number"	4298	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E06000007"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Urban (total)"	"number"	27120	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Urban city and town"	"number"	27120	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Rural (total)"	"number"	69302	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Rural town and fringe"	"number"	29666	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Rural town and fringe in a sparse setting"	"number"	9721	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Rural village"	"number"	12601	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Rural village in a sparse setting"	"number"	6814	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Rural hamlet and isolated dwellings"	"number"	4218	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000026"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	6282	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Urban (total)"	"number"	45865	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Urban city and town"	"number"	45865	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Rural (total)"	"number"	23222	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Rural town and fringe"	"number"	21371	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Rural village"	"number"	1663	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Rural village in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Rural hamlet and isolated dwellings"	"number"	188	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000027"	"Rural hamlet and isolated dwellings in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000028"	"Urban (total)"	"number"	78470	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000028"	"Urban major conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000028"	"Urban minor conurbation"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000028"	"Urban city and town"	"number"	78470	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000028"	"Urban city and town in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000028"	"Rural (total)"	"number"	29054	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000028"	"Rural town and fringe"	"number"	9440	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000028"	"Rural town and fringe in a sparse setting"	"number"	0	""
"All usual residents"	"Persons"	"2011"	"All usual residents"	"E07000028"	"Rural village"	"number"	9871	""
